mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
32.66193604469299,0.010598620676332843,1.9771854877471924,0.016943800342851575,False,,log2,2,2,140,"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 140}",0.9040326395458845,0.904416982024598,0.9041804635761589,0.9042100283822139,0.00015829370076684665,37
30.60879611968994,1.1949772511583472,2.1653711795806885,0.10804556776227735,True,20,sqrt,1,2,170,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 170}",0.9053039262062441,0.9058952223273415,0.9054074030274362,0.9055355171870073,0.0002578341897656646,28
20.089563926060993,0.5109698571540989,1.3283843994140625,0.02368630083187554,True,,log2,2,4,110,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 110}",0.9057326158940397,0.906353476821192,0.9061613055818354,0.9060824660990224,0.00025952369288598465,20
23.775063912073772,1.0514563127599001,1.8034619490305583,0.08060088573621614,True,,log2,1,4,132,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 132}",0.903810903500473,0.9042543755912961,0.9041361163670766,0.9040671318196152,0.00018750293273454654,41
25.095579703648884,0.4522906514295604,1.9673688411712646,0.017691768475826087,True,,log2,1,3,140,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 140}",0.9019483207190161,0.9022883159886471,0.9023622280037843,0.9021996215704825,0.0001802402747375765,46
30.720465580622356,0.4198512210737475,1.7775537967681885,0.061147427448208405,False,20,sqrt,2,3,132,"{'bootstrap': False, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 132}",0.9058804399243141,0.9055108798486282,0.9058065279091769,0.9057326158940397,0.00015966820153361704,22
46.61929066975912,1.0190829363004765,2.5361669858296714,0.03285435939808446,False,20,sqrt,2,2,198,"{'bootstrap': False, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 198}",0.9055995742667928,0.9056587038789026,0.9054960974456008,0.9055847918637654,6.720169946874738e-05,27
35.504061698913574,0.6212458238583005,1.016575574874878,0.022332279746060082,False,10,sqrt,1,2,198,"{'bootstrap': False, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 198}",0.9073291154210028,0.9074473746452223,0.9073882450331126,0.9073882450331126,4.827912611918773e-05,8
18.333842595418293,0.11466365760582536,1.343754529953003,0.014962962442723203,True,20,log2,1,2,104,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 104}",0.9048752365184485,0.9054517502365185,0.9053039262062441,0.9052103043204037,0.0002444937762152106,31
29.928511063257854,0.6993014891823809,1.6757431030273438,0.027286909473192122,False,20,sqrt,2,4,126,"{'bootstrap': False, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 126}",0.9057621807000946,0.9054665326395459,0.9057178334910123,0.9056488489435509,0.00013018216664323687,26
30.87049372990926,0.31821752175169654,2.031117598215739,0.04301006256750534,True,20,sqrt,2,3,176,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 176}",0.9066491248817408,0.9073143330179754,0.9069743377483444,0.9069792652160201,0.0002715924349479714,15
27.651476780573528,0.5901166046078018,1.9223541418711345,0.01884425627370192,True,20,log2,1,2,151,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 151}",0.9051117549668874,0.9056882686849574,0.9056439214758751,0.9054813150425733,0.00026194484902242264,29
16.40582052866618,0.2137166977973617,0.6596132119496664,0.04825020372787182,True,10,sqrt,1,4,114,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 114}",0.9072108561967833,0.9076543282876064,0.9073143330179754,0.9073931725007883,0.00018943533966749978,7
29.868916591008503,0.5535536377761425,2.143342892328898,0.007984976364878646,True,,log2,1,4,158,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 158}",0.9042543755912961,0.9041804635761589,0.9041952459791863,0.9042100283822138,3.193364030672341e-05,38
21.872816960016888,0.7397405508023396,0.7992997964223226,0.05546988639987912,True,10,log2,2,3,144,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 144}",0.9074473746452223,0.9076099810785241,0.9073291154210028,0.9074621570482497,0.00011513837753811486,6
